player,nation,position,age,90s_played,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
Max Kilman,ENG,DF,27,35.2,4,0,0,22,13,2,3,38,22,0,0,0,143,109,53,67.3
Aaron Wan-Bissaka,ENG,DF,27,33.0,1,0,0,24,26,5,70,61,47,0,0,1,164,22,31,41.5
Jarrod Bowen,ENG,"FW,MF",28,31.0,1,0,0,19,50,10,104,16,25,0,0,0,122,12,46,20.7
Mohammed Kudus,GHA,"FW,MF",24,27.7,2,1,0,39,60,18,76,4,21,0,0,0,131,10,38,20.8
Tomáš Souček,CZE,MF,30,26.9,8,0,0,44,24,4,13,19,20,1,0,0,59,98,69,58.7
Lucas Paquetá,BRA,"MF,FW",27,26.0,9,0,0,52,62,6,28,17,37,0,1,0,146,48,57,45.7
Emerson Palmieri,ITA,DF,30,23.5,5,0,0,25,13,0,64,21,31,0,0,0,84,18,20,47.4
Alphonse Areola,FRA,GK,32,24.1,0,0,0,0,0,0,0,0,2,0,0,1,28,2,0,100.0
Konstantinos Mavropanos,GRE,DF,27,21.7,6,1,1,17,14,3,2,39,22,0,0,0,70,56,24,70.0
Edson Álvarez,MEX,MF,27,18.4,8,1,1,38,18,4,6,17,23,0,0,0,81,28,21,57.1
Jean-Clair Todibo,FRA,DF,25,18.3,2,0,0,11,6,0,3,23,24,0,0,0,70,23,24,48.9
Guido Rodríguez,ARG,MF,31,12.0,5,0,0,16,11,2,4,12,17,0,0,0,50,9,7,56.3
Carlos Soler,ESP,"MF,FW",28,15.3,5,0,0,24,18,0,31,8,11,0,0,0,64,9,11,45.0
Łukasz Fabiański,POL,GK,40,11.9,2,0,0,2,1,0,0,0,0,0,2,0,5,2,1,66.7
Michail Antonio,JAM,FW,35,9.3,1,0,0,12,7,4,25,0,2,0,0,0,22,17,22,43.6
Vladimír Coufal,CZE,DF,32,10.6,4,0,0,21,14,0,23,8,12,0,0,1,33,21,13,61.8
James Ward-Prowse,ENG,MF,30,10.0,2,0,0,10,2,0,42,6,13,0,0,0,47,7,5,58.3
Aaron Cresswell,ENG,DF,35,8.5,3,0,0,4,2,0,33,8,7,0,0,0,35,7,7,50.0
Crysencio Summerville,NED,"FW,MF",23,8.7,2,0,0,9,23,4,21,0,7,0,0,0,38,4,9,30.8
Oliver Scarles,ENG,DF,19,6.6,1,0,0,4,3,1,13,10,11,0,0,0,33,5,5,50.0
Niclas Füllkrug,GER,FW,32,7.6,2,0,0,20,5,9,1,1,2,0,0,0,15,32,48,40.0
Danny Ings,ENG,"FW,MF",32,3.2,0,0,0,0,2,0,3,1,2,1,0,0,9,8,10,44.4
Andy Irving,SCO,MF,25,1.8,2,0,0,6,1,0,2,1,4,0,0,0,10,1,1,50.0
Evan Ferguson,IRL,FW,20,1.7,0,0,0,1,2,0,0,1,1,0,0,0,8,5,10,33.3
Luis Guilherme,BRA,"MF,FW",19,1.5,0,0,0,0,4,0,8,3,0,0,0,0,7,2,1,66.7
Lewis Orford,ENG,MF,19,0.5,0,0,0,0,0,0,1,1,0,0,0,0,7,0,1,0.0
Kaelan Casey,ENG,DF,20,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Squad Total,,,28,36.0,75,3,2,420,381,72,576,315,363,2,3,3,1481,556,534,51.0
Opponent Total,,,26,36.0,52,1,0,393,405,51,768,274,409,3,3,3,1495,534,556,49.0
