player,nation,position,age,90s_played,total_passes_attempted,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins_taken,corners_taken,inswinging_corners,outswinging_corners,straight_corners,total_passes_completed,passes_offside,passes_blocked
Dean Henderson,ENG,GK,28,36.0,1152,796,355,97,0,0,0,0,0,0,0,0,712,1,1
Tyrick Mitchell,ENG,DF,25,33.4,1316,1088,224,8,0,2,102,216,0,0,0,0,948,4,59
Daniel Muñoz,COL,DF,28,33.9,1436,1136,294,27,2,2,73,265,2,0,0,0,1087,6,38
Marc Guéhi,ENG,DF,24,34.0,1765,1664,95,76,7,14,13,6,0,0,0,0,1474,6,9
Maxence Lacroix,FRA,DF,25,32.6,1419,1375,44,40,2,7,6,2,0,0,0,0,1160,0,12
Jean-Philippe Mateta,FRA,FW,27,28.6,434,425,8,0,7,0,26,0,0,0,0,0,282,1,15
Eberechi Eze,ENG,"MF,FW",26,28.0,1018,823,178,69,10,5,110,3,62,39,10,0,759,17,17
Ismaila Sarr,SEN,MF,27,28.4,708,701,2,0,12,1,55,2,0,0,0,0,470,5,25
Jefferson Lerma,COL,"MF,DF",30,23.3,1057,993,56,12,8,8,11,43,0,0,0,0,799,8,21
Will Hughes,ENG,MF,30,22.1,929,818,104,33,1,2,71,1,54,41,2,0,707,7,10
Chris Richards,USA,DF,25,19.4,808,773,33,16,2,5,5,17,0,0,0,0,645,2,13
Adam Wharton,ENG,MF,20,14.6,725,678,40,14,5,1,39,0,26,19,1,0,548,7,12
Daichi Kamada,JPN,MF,28,16.2,700,669,30,10,3,5,31,2,16,11,1,0,560,1,16
Trevoh Chalobah,ENG,DF,25,11.8,442,426,16,11,1,2,7,5,0,0,0,0,349,0,7
Eddie Nketiah,ENG,"FW,MF",25,10.3,226,217,9,0,2,0,5,1,0,0,0,0,167,0,12
Nathaniel Clyne,ENG,"DF,MF",34,5.4,225,207,16,1,1,1,7,13,0,0,0,0,171,2,8
Cheick Doucouré,MLI,MF,25,5.0,204,201,3,3,0,0,1,0,0,0,0,0,174,0,4
Justin Devenny,NIR,MF,21,4.8,177,157,18,6,1,1,17,0,9,4,4,0,127,2,2
Odsonne Édouard,FRA,"MF,FW",27,1.3,28,28,0,0,0,0,1,0,0,0,0,0,17,0,2
Joachim Andersen,DEN,DF,28,1.0,83,81,2,1,0,0,1,0,1,0,0,0,61,0,0
Chadi Riad,MAR,DF,21,1.0,82,82,0,0,0,1,0,0,0,0,0,0,70,0,2
Ben Chilwell,ENG,DF,28,1.9,89,75,14,1,1,0,4,13,0,0,0,0,62,0,3
Jeffrey Schlupp,GHA,"MF,DF",32,1.1,50,47,3,0,0,0,4,3,0,0,0,0,39,0,0
Romain Esse,ENG,MF,20,0.5,22,22,0,0,0,0,0,0,0,0,0,0,18,0,1
Matheus França,BRA,"FW,MF",21,0.3,8,6,1,0,0,0,1,0,0,0,0,0,4,1,0
Jordan Ayew,GHA,"FW,MF",33,0.2,10,8,2,0,0,1,1,0,1,1,0,0,8,0,0
Caleb Kporha,ENG,DF,18,0.1,7,6,1,0,0,0,2,1,0,0,0,0,5,0,0
Asher Agbinone,ENG,MF,19,0.1,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0
Joel Ward,ENG,DF,35,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Squad Total,,,27,36.0,15125,13507,1548,425,65,58,594,593,171,115,18,0,11425,70,289
Opponent Total,,,26,36.0,19857,18180,1631,445,63,75,664,671,194,124,40,7,16163,46,378
